ms:float,v:float
2339539.160013199,78.36371
2340367.3198223114,72.44949
2341101.7298698425,81.69833
2341820.5099105835,83.47439
2342601.799964905,76.79644
2353414.799928665,76.79644
2354149.2099761963,81.69833
2354930.4900169373,76.79646
2355758.65983963,72.44947
2356477.439880371,83.47439
2357258.7299346924,76.79644
2358024.3899822235,78.36374
2358821.3000297546,75.29063
2359555.709838867,81.69833
2360274.489879608,83.47441
2361055.7799339294,76.79644
2361821.4399814606,78.36371
2362555.8500289917,81.69833
2363290.2598381042,81.69836
2364165.2998924255,68.56825
2364837.1999263763,89.29817
2365524.7299671173,87.2687
2366290.3900146484,78.36371
2367071.679830551,76.79644
2367774.8398780823,85.3294
2368524.8699188232,79.99628
2369259.2799663544,81.69833
2370040.5700206757,76.79644
2370759.349822998,83.47441
2371509.3898773193,79.99628
2372290.6699180603,76.79644
2373056.3299655914,78.36374
2373806.3700199127,79.99628
2374572.0298290253,78.36371
2375337.6898765564,78.36374
2376040.8499240875,85.32937
2376790.8799648285,79.99628
2377525.2900123596,81.69836
2378275.319814682,79.99628
2378931.599855423,91.42432
2379666.009902954,81.69836
2380509.7999572754,71.10782
2381337.970018387,72.44947
2390103.999853134,85.32937
2390807.149887085,85.3294
2391494.6899414062,87.26867
2392213.469982147,83.47439
2399213.7899398804,62.94791
2400354.470014572,52.6003
2401542.0298576355,50.52397
2407667.309999466,81.69836
2408464.220046997,75.29063
2409370.5098629,66.20383
2410151.799917221,76.79644
2410995.5899715424,71.10782
2411933.1300258636,63.99704
2412698.789834976,78.36371
2413542.5798892975,71.10782
2414448.869943619,66.20383
2415198.90999794,79.99628
2416011.4500522614,73.84275
2416870.859861374,69.81495
2417683.399915695,73.84273
2418464.6899700165,76.79644
2419370.980024338,66.20383
2420339.7698402405,61.93262
2421167.939901352,72.44947
2422089.849948883,65.08173
2423011.7700099945,65.08173
2423793.059825897,76.79644
2424589.9698734283,75.29063
2425433.7599277496,71.10782
2426308.799982071,68.56825
2427074.460029602,78.36374
2427715.1098251343,93.65418
2432074.6898651123,69.81495
2432965.3599262238,67.3653
2433731.019973755,78.36374
2434512.300014496,76.79644
2435387.3398303986,68.56825
2436278.00989151,67.3653
2444497.139930725,85.32937
2445387.8099918365,67.3653
2450294.280052185,81.69833
2451028.6898612976,81.69836
2451731.8499088287,85.32937
2452388.1299495697,91.42432
2453138.170003891,79.99632
2453935.080051422,75.29063
2465076.220035553,72.44947
2465951.2598514557,68.56825
2466873.179912567,65.08173
2467920.0999736786,57.31077
2471717.1499729156,73.84273
2472467.190027237,79.99628
2473264.0998363495,75.29063
2478811.229944229,75.29063
2479686.2699985504,68.56825
2480436.309814453,79.99628
2481248.839855194,73.84273
2482092.6299095154,71.10782
2486967.859983444,69.81495
2487842.9000377655,68.56825
2488842.9498672485,59.99723
2489577.3499011993,81.69833
2490593.029975891,59.07419
2491546.2000370026,62.94791
2492343.109846115,75.29063
2493108.7698936462,78.36374
2493968.1799411774,69.81495
2494718.2199954987,79.99628
2495515.13004303,75.29063
2496327.6698589325,73.84273
2497108.9498996735,76.79644
2497843.3599472046,81.69836
2505984.3599796295,81.69833
2506781.280040741,75.29065
2507609.4398498535,72.44947
2508296.9698905945,87.26867
2509062.6299381256,78.36371
2509890.799999237,72.44949
2510812.710046768,65.08173
2511531.499862671,83.47439
2512344.029903412,73.84273
2513156.569957733,73.84273
2513859.7300052643,85.3294
2514672.269821167,73.84273
2515484.799861908,73.84273
2516250.459909439,78.36371
2516937.9999637604,87.2687
2517719.2800045013,76.79644
2518500.569820404,76.79644
2519484.9898815155,60.94956
2520188.1499290466,85.32937
2520985.0599765778,75.29065
2521906.980037689,65.08172
2522782.019853592,68.56825
2523516.429901123,81.69836
2524344.589948654,72.44947
2525141.4999961853,75.29063
2525844.6600437164,85.3294
2526657.199859619,73.84273
2527563.4899139404,66.20383
2528329.1499614716,78.36371
2529110.440015793,76.79644
2529922.9698181152,73.84273
2530704.2598724365,76.79646
2531407.4199199677,85.32937
